Machinename quartz Date 2019-08-02 15:06:37.213476 Discretization Type sdm_ld fem_unlump Parallel run F,,,,,,,,,,,,,,,,,,
Nx,Ny,Nz,Nm,Ng,Np,Px,Py,Pz,Ax,Ay,Az,Ami,Ag,Scattering Moments,Overall Time,Sweep Time,Grind Time,Over All Memory
8,8,8,168,1,1,1,1,1,4,4,4,3,1,1,0.811,0.639,185.721261,32
8,8,8,168,1,1,1,1,1,4,4,4,7,1,1,0.557,0.405,117.710658,26
8,8,8,168,1,1,1,1,1,4,4,4,21,1,1,0.428,0.286,83.12407,24
8,8,8,168,1,1,1,1,1,4,4,8,1,1,1,1.67,1.41,409.807478,47
8,8,8,168,1,1,1,1,1,4,4,8,3,1,1,0.79,0.616,179.036458,31
8,8,8,168,1,1,1,1,1,4,4,8,7,1,1,0.553,0.4,116.25744,26
8,8,8,168,1,1,1,1,1,4,4,8,21,1,1,0.426,0.283,82.252139,24
8,8,8,168,1,1,1,1,1,4,8,1,1,1,1,1.82,1.59,462.123326,56
8,8,8,168,1,1,1,1,1,4,8,1,3,1,1,0.841,0.677,196.765718,34
8,8,8,168,1,1,1,1,1,4,8,1,7,1,1,0.572,0.423,122.942243,27
8,8,8,168,1,1,1,1,1,4,8,1,21,1,1,0.435,0.294,85.449219,24
8,8,8,168,1,1,1,1,1,4,8,2,1,1,1,1.71,1.47,427.246094,50
8,8,8,168,1,1,1,1,1,4,8,2,3,1,1,0.809,0.638,185.430618,32
8,8,8,168,1,1,1,1,1,4,8,2,7,1,1,0.61,0.454,131.952195,27
8,8,8,168,1,1,1,1,1,4,8,2,21,1,1,0.428,0.285,82.833426,24
8,8,8,168,1,1,1,1,1,4,8,4,1,1,1,1.68,1.42,412.713914,47
8,8,8,168,1,1,1,1,1,4,8,4,3,1,1,0.792,0.616,179.036458,31
8,8,8,168,1,1,1,1,1,4,8,4,7,1,1,0.554,0.402,116.838728,26
8,8,8,168,1,1,1,1,1,4,8,4,21,1,1,0.427,0.284,82.542783,24
